"seed","config","train_acc","test_acc","marginal_R2","conditional_R2","converged"
1,"flat",NA,NA,NA,NA,FALSE
2,"flat",NA,NA,NA,NA,FALSE
3,"flat",NA,NA,NA,NA,FALSE
4,"flat",NA,NA,NA,NA,FALSE
5,"flat",NA,NA,NA,NA,FALSE
6,"flat",NA,NA,NA,NA,FALSE
7,"flat",NA,NA,NA,NA,FALSE
8,"flat",NA,NA,NA,NA,FALSE
9,"flat",NA,NA,NA,NA,FALSE
10,"flat",NA,NA,NA,NA,FALSE
11,"flat",NA,NA,NA,NA,FALSE
12,"flat",NA,NA,NA,NA,FALSE
13,"flat",NA,NA,NA,NA,FALSE
14,"flat",NA,NA,NA,NA,FALSE
15,"flat",NA,NA,NA,NA,FALSE
16,"flat",NA,NA,NA,NA,FALSE
17,"flat",NA,NA,NA,NA,FALSE
18,"flat",NA,NA,NA,NA,FALSE
19,"flat",NA,NA,NA,NA,FALSE
20,"flat",NA,NA,NA,NA,FALSE
21,"flat",NA,NA,NA,NA,FALSE
22,"flat",NA,NA,NA,NA,FALSE
23,"flat",NA,NA,NA,NA,FALSE
24,"flat",NA,NA,NA,NA,FALSE
25,"flat",NA,NA,NA,NA,FALSE
26,"flat",NA,NA,NA,NA,FALSE
27,"flat",NA,NA,NA,NA,FALSE
28,"flat",NA,NA,NA,NA,FALSE
29,"flat",NA,NA,NA,NA,FALSE
30,"flat",NA,NA,NA,NA,FALSE
31,"flat",NA,NA,NA,NA,FALSE
32,"flat",NA,NA,NA,NA,FALSE
33,"flat",NA,NA,NA,NA,FALSE
34,"flat",NA,NA,NA,NA,FALSE
35,"flat",NA,NA,NA,NA,FALSE
36,"flat",NA,NA,NA,NA,FALSE
37,"flat",NA,NA,NA,NA,FALSE
38,"flat",NA,NA,NA,NA,FALSE
39,"flat",NA,NA,NA,NA,FALSE
40,"flat",NA,NA,NA,NA,FALSE
41,"flat",NA,NA,NA,NA,FALSE
42,"flat",NA,NA,NA,NA,FALSE
43,"flat",NA,NA,NA,NA,FALSE
44,"flat",NA,NA,NA,NA,FALSE
45,"flat",NA,NA,NA,NA,FALSE
46,"flat",NA,NA,NA,NA,FALSE
47,"flat",NA,NA,NA,NA,FALSE
48,"flat",NA,NA,NA,NA,FALSE
49,"flat",NA,NA,NA,NA,FALSE
50,"flat",NA,NA,NA,NA,FALSE
1,"moderate",0.658333333333333,0.541666666666667,0.0918683203849486,0.180140739894968,TRUE
2,"moderate",0.654166666666667,0.533333333333333,0.120467393173947,0.194413644488576,TRUE
3,"moderate",0.720833333333333,0.45,0.264824180747775,0.293959284012333,TRUE
4,"moderate",0.664583333333333,0.608333333333333,0.080688255548331,0.222120712889208,TRUE
5,"moderate",0.641666666666667,0.55,0.0644946180367729,0.107684441358176,TRUE
6,"moderate",0.679166666666667,0.466666666666667,0.106322685000327,0.201988543486656,TRUE
7,"moderate",0.683333333333333,0.491666666666667,0.143981612101216,0.271606896537705,TRUE
8,"moderate",0.654166666666667,0.516666666666667,0.0943709208265223,0.151923844345229,TRUE
9,"moderate",0.69375,0.558333333333333,0.0921804357836263,0.237354271308498,TRUE
10,"moderate",0.654166666666667,0.466666666666667,0.123154580912935,0.187590950003115,TRUE
11,"moderate",0.685416666666667,0.525,0.102463701147479,0.191501298069292,TRUE
12,"moderate",0.69375,0.508333333333333,0.104674824893421,0.263179898572592,TRUE
13,"moderate",0.65,0.541666666666667,0.0907859078146922,0.149333387876899,TRUE
14,"moderate",0.672916666666667,0.533333333333333,0.185116540323995,0.267667079454635,TRUE
15,"moderate",0.666666666666667,0.616666666666667,0.110898087939206,0.15634829105484,TRUE
16,"moderate",0.66875,0.608333333333333,0.100934778498939,0.188665015320565,TRUE
17,"moderate",0.6625,0.55,0.0772960635535209,0.210909718591157,TRUE
18,"moderate",0.710416666666667,0.558333333333333,0.123092865026929,0.334501824705869,TRUE
19,"moderate",0.670833333333333,0.55,0.102482362750124,0.204615412789538,TRUE
20,"moderate",0.654166666666667,0.55,0.0916869891542493,0.20137166864512,TRUE
21,"moderate",0.65625,0.675,0.077371331139164,0.126911656511081,TRUE
22,"moderate",0.654166666666667,0.533333333333333,0.10533989289672,0.192349913364637,TRUE
23,"moderate",0.647916666666667,0.466666666666667,0.0896613960448864,0.225484448565563,TRUE
24,"moderate",0.664583333333333,0.475,0.151597697700755,0.19448537292984,TRUE
25,"moderate",0.641666666666667,0.583333333333333,0.0724196924515695,0.127591815503648,TRUE
26,"moderate",0.7125,0.483333333333333,0.166330846925254,0.350718928883559,TRUE
27,"moderate",0.677083333333333,0.541666666666667,0.0972428673939311,0.231715502346592,TRUE
28,"moderate",0.652083333333333,0.625,0.132079741638075,0.192645227627036,TRUE
29,"moderate",0.672916666666667,0.458333333333333,0.0689750247683882,0.211635454797784,TRUE
30,"moderate",0.704166666666667,0.5,0.140664392464658,0.266190963923065,TRUE
31,"moderate",0.683333333333333,0.508333333333333,0.145765143405358,0.24460924084743,TRUE
32,"moderate",0.7,0.558333333333333,0.113622016133472,0.216145115947418,TRUE
33,"moderate",0.639583333333333,0.575,0.0864537947424819,0.196642512202587,TRUE
34,"moderate",0.6875,0.6,0.158716824961918,0.222045183435491,TRUE
35,"moderate",0.677083333333333,0.491666666666667,0.0802103732162252,0.170395425380038,TRUE
36,"moderate",0.685416666666667,0.5,0.0927989948717125,0.179169996567544,TRUE
37,"moderate",0.741666666666667,0.508333333333333,0.155679803652061,0.299565564569348,TRUE
38,"moderate",0.658333333333333,0.55,0.119684451735539,0.21855154247647,TRUE
39,"moderate",0.6875,0.55,0.104166100364833,0.21569449382684,TRUE
40,"moderate",0.6875,0.541666666666667,0.111169784961142,0.253840982902538,TRUE
41,"moderate",0.6875,0.525,0.113279485750079,0.273386120129533,TRUE
42,"moderate",0.670833333333333,0.55,0.117803129685254,0.246576027690574,TRUE
43,"moderate",0.664583333333333,0.533333333333333,0.0844330874506742,0.18696846864395,TRUE
44,"moderate",0.6625,0.466666666666667,0.0717796752407408,0.199542034652717,TRUE
45,"moderate",0.625,0.541666666666667,0.063539714928377,0.12797567490177,TRUE
46,"moderate",0.71875,0.558333333333333,0.165637168570363,0.296651159235178,TRUE
47,"moderate",0.710416666666667,0.441666666666667,0.1566451782302,0.30931298592494,TRUE
48,"moderate",0.7,0.533333333333333,0.140075814339794,0.280232776322253,TRUE
49,"moderate",0.6625,0.483333333333333,0.0697996228679472,0.186114346672506,TRUE
50,"moderate",0.677083333333333,0.433333333333333,0.119950885642834,0.24498051032602,TRUE
1,"strong",0.658333333333333,0.525,0.0865052053374228,0.176727540612561,TRUE
2,"strong",0.664583333333333,0.525,0.113478954592508,0.180877590150486,TRUE
3,"strong",0.727083333333333,0.45,0.249103057400944,0.275696248894214,TRUE
4,"strong",0.666666666666667,0.6,0.0749158135519114,0.212837597255613,TRUE
5,"strong",0.627083333333333,0.541666666666667,0.060157347104712,0.105867770421781,TRUE
6,"strong",0.691666666666667,0.491666666666667,0.0992488087216504,0.190899877254904,TRUE
7,"strong",0.689583333333333,0.516666666666667,0.134025479746895,0.260062578205483,TRUE
8,"strong",0.65,0.508333333333333,0.0877669227526792,0.139671241043494,TRUE
9,"strong",0.7,0.558333333333333,0.0877096970239222,0.228853652630428,TRUE
10,"strong",0.652083333333333,0.466666666666667,0.11390549787798,0.17710681852437,TRUE
11,"strong",0.66875,0.533333333333333,0.0961853065703865,0.188556195601126,TRUE
12,"strong",0.704166666666667,0.525,0.094962073421743,0.253611384713863,TRUE
13,"strong",0.641666666666667,0.533333333333333,0.0866340088881477,0.143368865478624,TRUE
14,"strong",0.697916666666667,0.566666666666667,0.173165355186701,0.25403568685884,TRUE
15,"strong",0.66875,0.616666666666667,0.104408462895535,0.147643947387035,TRUE
16,"strong",0.670833333333333,0.625,0.0945316453275535,0.178852044026047,TRUE
17,"strong",0.658333333333333,0.566666666666667,0.0725027265609094,0.212234641863462,TRUE
18,"strong",0.727083333333333,0.558333333333333,0.113923528849798,0.33144959462294,TRUE
19,"strong",0.66875,0.558333333333333,0.095365415136879,0.195538151212688,TRUE
20,"strong",0.658333333333333,0.525,0.0864468605817043,0.189136328607668,TRUE
21,"strong",0.664583333333333,0.675,0.0733436683648319,0.119312694909927,TRUE
22,"strong",0.660416666666667,0.525,0.0955717691936864,0.180358953129685,TRUE
23,"strong",0.647916666666667,0.483333333333333,0.0823674988223736,0.223033346987532,TRUE
24,"strong",0.6625,0.475,0.141674971084526,0.18768189543929,TRUE
25,"strong",0.63125,0.575,0.06797059027206,0.121579270705414,TRUE
26,"strong",0.7125,0.483333333333333,0.155136322807822,0.331703084620044,TRUE
27,"strong",0.6875,0.533333333333333,0.0895493249964833,0.224166709663168,TRUE
28,"strong",0.64375,0.608333333333333,0.120180168615293,0.183588070705795,TRUE
29,"strong",0.683333333333333,0.441666666666667,0.0629482407203682,0.210074441213838,TRUE
30,"strong",0.708333333333333,0.5,0.128541454721066,0.247937457041478,TRUE
31,"strong",0.683333333333333,0.525,0.131224395117494,0.231881271537419,TRUE
32,"strong",0.69375,0.558333333333333,0.1041308359319,0.208680961515047,TRUE
33,"strong",0.65625,0.6,0.0822717818519466,0.19595511016349,TRUE
34,"strong",0.68125,0.608333333333333,0.143561466836104,0.214592737345038,TRUE
35,"strong",0.68125,0.5,0.0766906700291891,0.167161897089133,TRUE
36,"strong",0.6875,0.5,0.0861107325408449,0.170778156777275,TRUE
37,"strong",0.716666666666667,0.491666666666667,0.140521420218023,0.277556798324938,TRUE
38,"strong",0.6625,0.525,0.116260604914829,0.216029836666797,TRUE
39,"strong",0.672916666666667,0.525,0.0971225443385723,0.207497274919924,TRUE
40,"strong",0.691666666666667,0.541666666666667,0.0997899710590458,0.238280086255033,TRUE
41,"strong",0.683333333333333,0.508333333333333,0.1037539251547,0.253400334735141,TRUE
42,"strong",0.677083333333333,0.533333333333333,0.111663536135193,0.233046165112872,TRUE
43,"strong",0.652083333333333,0.516666666666667,0.0784401486377505,0.185368551154559,TRUE
44,"strong",0.658333333333333,0.458333333333333,0.0673964976361071,0.192506094280129,TRUE
45,"strong",0.622916666666667,0.516666666666667,0.0610944024953021,0.128700202924758,TRUE
46,"strong",0.722916666666667,0.55,0.155282731921838,0.285325194074685,TRUE
47,"strong",0.691666666666667,0.441666666666667,0.143810431497221,0.295865323416266,TRUE
48,"strong",0.69375,0.491666666666667,0.131337241277483,0.271141110002166,TRUE
49,"strong",0.645833333333333,0.491666666666667,0.066056298569152,0.177860566051299,TRUE
50,"strong",0.677083333333333,0.45,0.114392137791725,0.239170721099971,TRUE
1,"very_strong",0.679166666666667,0.55,0.0231898122341153,0.102943026688288,TRUE
2,"very_strong",0.670833333333333,0.475,0.0297854205076179,0.115133696376332,TRUE
3,"very_strong",0.739583333333333,0.416666666666667,0.0747481667958988,0.101075088924774,TRUE
4,"very_strong",0.670833333333333,0.625,0.017967722388158,0.142612392419049,TRUE
5,"very_strong",0.622916666666667,0.533333333333333,0.0177096381508128,0.0574719589327554,TRUE
6,"very_strong",0.6875,0.433333333333333,0.0280664512384557,0.0993476353214552,TRUE
7,"very_strong",0.716666666666667,0.541666666666667,0.0361864074272954,0.148543884265231,TRUE
8,"very_strong",0.654166666666667,0.558333333333333,0.0245777908087464,0.0736800566333713,TRUE
9,"very_strong",0.704166666666667,0.583333333333333,0.0223282967215946,0.156902820180027,TRUE
10,"very_strong",0.664583333333333,0.483333333333333,0.0281889305916149,0.0840625570735687,TRUE
11,"very_strong",0.65625,0.525,0.0230681221430796,0.0986462871842187,TRUE
12,"very_strong",0.697916666666667,0.475,0.0260394002186288,0.17883350537836,TRUE
13,"very_strong",0.6375,0.491666666666667,0.0222194500346327,0.0803927828747465,TRUE
14,"very_strong",0.70625,0.566666666666667,0.0443289086593938,0.115179935858529,TRUE
15,"very_strong",0.664583333333333,0.558333333333333,0.031700361981231,0.0606126195336169,TRUE
16,"very_strong",0.664583333333333,0.625,0.0261015546387826,0.108445480627272,TRUE
17,"very_strong",0.6625,0.583333333333333,0.0195123987947678,0.146118920887996,TRUE
18,"very_strong",0.708333333333333,0.583333333333333,0.0272435232431619,0.230489226946239,TRUE
19,"very_strong",0.66875,0.566666666666667,0.0262263495183597,0.118949427694689,TRUE
20,"very_strong",0.633333333333333,0.525,0.0219927699998762,0.12737449739188,TRUE
21,"very_strong",0.641666666666667,0.675,0.0184209485476866,0.0562602671864913,TRUE
22,"very_strong",0.672916666666667,0.516666666666667,0.0254759793311735,0.0923761960798686,TRUE
23,"very_strong",0.664583333333333,0.491666666666667,0.0193312393165229,0.149134022465112,TRUE
24,"very_strong",0.660416666666667,0.491666666666667,0.0414800447963157,0.0809847868925634,TRUE
25,"very_strong",0.6375,0.533333333333333,0.0187812211141984,0.0626008832651699,TRUE
26,"very_strong",0.702083333333333,0.525,0.0408939160625589,0.213876121198977,TRUE
27,"very_strong",0.677083333333333,0.491666666666667,0.0220326148473907,0.14863457631704,TRUE
28,"very_strong",0.6625,0.6,0.0279298864343715,0.0922897516421008,TRUE
29,"very_strong",0.664583333333333,0.45,0.0166748737954594,0.140794221674823,TRUE
30,"very_strong",0.689583333333333,0.491666666666667,0.0315684763132099,0.142838001100641,TRUE
31,"very_strong",0.66875,0.541666666666667,0.0352609334947,0.115245224978021,TRUE
32,"very_strong",0.695833333333333,0.575,0.0247715717254987,0.112476157622374,TRUE
33,"very_strong",0.658333333333333,0.558333333333333,0.019791272766879,0.117091007353805,TRUE
34,"very_strong",0.670833333333333,0.6,0.0350536366489202,0.0973570022871721,TRUE
35,"very_strong",0.677083333333333,0.5,0.0205876698583659,0.101522463659768,TRUE
36,"very_strong",0.672916666666667,0.5,0.0238089364139034,0.104891300488119,TRUE
37,"very_strong",0.708333333333333,0.516666666666667,0.033688979498464,0.160459401991995,TRUE
38,"very_strong",0.6625,0.516666666666667,0.0314180094497708,0.121219712086207,TRUE
39,"very_strong",0.7,0.533333333333333,0.0274023280162474,0.12808948077633,TRUE
40,"very_strong",0.685416666666667,0.533333333333333,0.024206961432845,0.154502442577582,TRUE
41,"very_strong",0.670833333333333,0.5,0.0263721257138258,0.172237683969084,TRUE
42,"very_strong",0.683333333333333,0.516666666666667,0.0271488564457974,0.125170365664026,TRUE
43,"very_strong",0.645833333333333,0.533333333333333,0.021696135074699,0.117398509355302,TRUE
44,"very_strong",0.672916666666667,0.516666666666667,0.0189853099606073,0.130663589767356,TRUE
45,"very_strong",0.629166666666667,0.525,0.01761125403378,0.0797103994055834,TRUE
46,"very_strong",0.695833333333333,0.541666666666667,0.0423820953189944,0.169640226662192,TRUE
47,"very_strong",0.697916666666667,0.416666666666667,0.0340871254444471,0.193677765186133,TRUE
48,"very_strong",0.727083333333333,0.516666666666667,0.0347170635930749,0.163217275252481,TRUE
49,"very_strong",0.652083333333333,0.533333333333333,0.0164003479179233,0.113370512051196,TRUE
50,"very_strong",0.675,0.458333333333333,0.0345890670610942,0.149888826335257,TRUE
